Enero;DÍA_SEMANA;DEMANDA;;Febrero;DÍA_SEMANA;DEMANDA;;Marzo;DÍA_SEMANA;DEMANDA;;Abril;DÍA_SEMANA;DEMANDA;;Mayo;DÍA_SEMANA;DEMANDA;;Junio;DÍA_SEMANA;DEMANDA;;Julio;DÍA_SEMANA;DEMANDA;;Agosto;DÍA_SEMANA;DEMANDA;;Septiembre;DÍA_SEMANA;DEMANDA;;Octubre;DÍA_SEMANA;DEMANDA;;Noviembre;DÍA_SEMANA;DEMANDA;;Diciembre;DÍA_SEMANA;DEMANDA
1/1/22;sábado;462.810;;1/2/22;martes;1.733.921;;1/3/22;martes;1.879.556;;1/4/22;viernes;2.046.149;;1/5/22;domingo;985.507;;1/6/22;miércoles;1.925.523;;1/7/22;viernes;1.714.185;;1/8/22;lunes;1.207.774;;1/9/22;jueves;1.523.575;;1/10/22;sábado;1.374.937;;1/11/22;martes;1.003.866;;1/12/22;jueves;2.241.097
2/1/22;domingo;771.452;;2/2/22;miércoles;1.777.276;;2/3/22;miércoles;1.916.782;;2/4/22;sábado;1.338.557;;2/5/22;lunes;834.814;;2/6/22;jueves;1.903.963;;2/7/22;sábado;1.110.726;;2/8/22;martes;1.229.273;;2/9/22;viernes;1.566.537;;2/10/22;domingo;1.098.704;;2/11/22;miércoles;2.154.633;;2/12/22;viernes;2.278.008
3/1/22;lunes;1.215.838;;3/2/22;jueves;1.784.489;;3/3/22;jueves;1.921.932;;3/4/22;domingo;972.588;;3/5/22;martes;1.895.042;;3/6/22;viernes;1.935.592;;3/7/22;domingo;872.759;;3/8/22;miércoles;1.235.071;;3/9/22;sábado;1.108.337;;3/10/22;lunes;2.006.636;;3/11/22;jueves;2.181.334;;3/12/22;sábado;1.524.308
4/1/22;martes;1.229.268;;4/2/22;viernes;1.855.350;;4/3/22;viernes;2.000.417;;4/4/22;lunes;1.855.012;;4/5/22;miércoles;2.024.859;;4/6/22;sábado;1.291.689;;4/7/22;lunes;1.606.911;;4/8/22;jueves;1.217.197;;4/9/22;domingo;906.879;;4/10/22;martes;2.149.284;;4/11/22;viernes;2.236.790;;4/12/22;domingo;1.126.144
5/1/22;miércoles;1.247.284;;5/2/22;sábado;1.201.754;;5/3/22;sábado;1.316.800;;5/4/22;martes;1.932.347;;5/5/22;jueves;1.975.871;;5/6/22;domingo;971.067;;5/7/22;martes;1.680.135;;5/8/22;viernes;1.191.529;;5/9/22;lunes;1.673.810;;5/10/22;miércoles;2.194.744;;5/11/22;sábado;1.435.472;;5/12/22;lunes;1.798.391
6/1/22;jueves;584.018;;6/2/22;domingo;884.603;;6/3/22;domingo;934.467;;6/4/22;miércoles;1.959.321;;6/5/22;viernes;2.030.679;;6/6/22;lunes;1.758.842;;6/7/22;miércoles;1.737.641;;6/8/22;sábado;822.372;;6/9/22;martes;1.751.534;;6/10/22;jueves;2.176.753;;6/11/22;domingo;1.073.297;;6/12/22;martes;1.128.357
7/1/22;viernes;1.216.316;;7/2/22;lunes;1.717.964;;7/3/22;lunes;1.824.495;;7/4/22;jueves;2.014.682;;7/5/22;sábado;1.301.644;;7/6/22;martes;1.828.148;;7/7/22;jueves;1.739.770;;7/8/22;domingo;663.805;;7/9/22;miércoles;1.814.836;;7/10/22;viernes;2.190.373;;7/11/22;lunes;2.061.885;;7/12/22;miércoles;1.898.990
8/1/22;sábado;935.327;;8/2/22;martes;1.781.289;;8/3/22;martes;1.957.443;;8/4/22;viernes;1.795.314;;8/5/22;domingo;1.040.697;;8/6/22;miércoles;1.867.492;;8/7/22;viernes;1.713.951;;8/8/22;lunes;1.094.532;;8/9/22;jueves;1.838.723;;8/10/22;sábado;1.425.455;;8/11/22;martes;2.220.738;;8/12/22;jueves;1.073.926
9/1/22;domingo;696.151;;9/2/22;miércoles;1.811.264;;9/3/22;miércoles;1.979.708;;9/4/22;sábado;1.178.811;;9/5/22;lunes;1.844.744;;9/6/22;jueves;1.918.061;;9/7/22;sábado;1.215.461;;9/8/22;martes;1.129.987;;9/9/22;viernes;1.872.814;;9/10/22;domingo;1.105.653;;9/11/22;miércoles;1.181.138;;9/12/22;viernes;1.975.734
10/1/22;lunes;1.459.925;;10/2/22;jueves;1.824.840;;10/3/22;jueves;1.953.673;;10/4/22;domingo;936.196;;10/5/22;martes;1.911.823;;10/6/22;viernes;1.893.710;;10/7/22;domingo;859.851;;10/8/22;miércoles;1.139.092;;10/9/22;sábado;1.210.594;;10/10/22;lunes;2.000.492;;10/11/22;jueves;2.207.742;;10/12/22;sábado;1.546.319
