L’nea;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sept-22;oct-22;nov-22;dic-22
1;6.012.770;12.587.060;20.332.145;27.358.665;34.841.633;42.114.388;48.484.498;53.563.036;61.114.071;69.456.432;77.814.571;86.114.444
2;2.536.922;5.300.235;8.399.190;11.318.521;14.443.904;17.409.635;19.963.995;21.991.132;25.075.588;28.509.153;31.904.957;35.438.310
3;4.151.154;8.720.228;14.132.227;19.012.058;24.227.797;29.203.538;33.482.971;36.907.984;42.152.599;47.973.493;53.790.296;59.414.122
4;2.256.143;4.787.106;7.813.734;10.412.712;13.201.610;15.915.235;18.148.781;19.825.049;22.674.822;25.744.558;28.889.506;31.893.267
5;4.367.873;9.136.486;14.397.057;19.431.247;25.037.726;30.279.443;34.811.615;38.493.575;43.958.581;49.999.544;56.038.274;62.094.978
6;6.614.004;14.346.481;23.466.449;31.146.727;39.444.392;47.436.458;54.080.627;58.334.271;66.580.922;75.943.611;85.394.411;94.083.615
7;2.772.246;5.990.176;9.747.569;13.001.987;16.548.376;19.979.802;22.692.720;24.835.940;28.389.765;32.228.047;36.044.944;38.937.241
8;940.356;1.953.635;3.078.062;4.063.897;5.117.047;6.287.634;7.383.792;8.233.388;9.577.535;11.036.390;12.474.360;13.782.749
9;2.465.955;5.290.231;8.671.336;11.552.119;14.726.709;17.774.017;20.200.553;22.116.148;25.384.753;28.890.373;32.397.557;35.612.530
10;4.343.227;9.324.882;15.306.218;20.566.104;26.311.869;31.929.034;36.691.530;40.342.946;46.361.269;52.934.741;59.454.144;65.625.994
11;372.563;770.040;1.242.857;1.664.246;2.122.665;2.571.691;2.958.186;3.271.034;3.726.838;4.225.159;4.726.022;5.207.956
12;2.590.014;5.462.283;8.792.042;11.663.081;14.813.379;17.851.636;20.339.048;22.387.896;25.838.726;29.569.401;33.348.787;36.738.320
RAMAL;240.517;498.109;793.257;1.079.750;1.379.884;1.664.812;1.918.447;2.116.802;2.415.167;2.756.468;3.096.925;3.474.929
Viajeros sin T.T.;381;847;1.053;1.921;3.355;6.777;9.360;9.862;13.779;17.459;20.831;22.390
Viajeros EMT;0;308.610;1.147.537;1.577.275;1.967.973;1.967.973;1.987.409;2.633.165;2.955.353;3.014.622;3.070.901;3.227.839
Total ;39.664.125;84.476.409;137.320.733;137.750.471;234.188.319;282.392.073;323.153.532;355.062.228;406.219.768;462.299.451;518.466.486;571.668.684
;;;;;;;;;;;;
Demanda Mensual;39.664.125;44.812.284;52.844.324;46.529.577;50.338.009;48.203.754;40.761.459;31.908.696;51.157.540;56.079.683;56.167.035;53.202.198
