"Month","Date","Day","Demanda"
"January","1/1/2022","Saturday","462,810"
"January","1/2/2022","Sunday","771,452"
"January","1/3/2022","Monday","1,215,838"
"January","1/4/2022","Tuesday","1,229,268"
"January","1/5/2022","Wednesday","1,247,284"
"January","1/6/2022","Thursday","584,018"
"January","1/7/2022","Friday","1,216,316"
"January","1/8/2022","Saturday","935,327"
"January","1/9/2022","Sunday","696,151"
"January","1/10/2022","Monday","1,459,925"
"January","1/11/2022","Tuesday","1,484,618"
"January","1/12/2022","Wednesday","1,526,986"
"January","1/13/2022","Thursday","1,532,587"
"January","1/14/2022","Friday","1,623,135"
"January","1/15/2022","Saturday","1,023,334"
"January","1/16/2022","Sunday","737,797"
"January","1/17/2022","Monday","1,526,738"
"January","1/18/2022","Tuesday","1,568,980"
"January","1/19/2022","Wednesday","1,593,770"
"January","1/20/2022","Thursday","1,626,209"
"January","1/21/2022","Friday","1,709,957"
"January","1/22/2022","Saturday","1,120,905"
"January","1/23/2022","Sunday","809,856"
"January","1/24/2022","Monday","1,590,679"
"January","1/25/2022","Tuesday","1,629,201"
"January","1/26/2022","Wednesday","1,667,265"
"January","1/27/2022","Thursday","1,692,908"
"January","1/28/2022","Friday","1,726,192"
"January","1/29/2022","Saturday","1,152,896"
"January","1/30/2022","Sunday","843,258"
"January","1/31/2022","Monday","1,658,084"
"February","2/1/2022","Tuesday","1,733,921"
"February","2/2/2022","Wednesday","1,777,276"
"February","2/3/2022","Thursday","1,784,489"
"February","2/4/2022","Friday","1,855,350"
"February","2/5/2022","Saturday","1,201,754"
"February","2/6/2022","Sunday","884,603"
"February","2/7/2022","Monday","1,717,964"
"February","2/8/2022","Tuesday","1,781,289"
"February","2/9/2022","Wednesday","1,811,264"
"February","2/10/2022","Thursday","1,824,840"
"February","2/11/2022","Friday","1,851,245"
"February","2/12/2022","Saturday","1,191,748"
"February","2/13/2022","Sunday","876,767"
"February","2/14/2022","Monday","1,814,637"
"February","2/15/2022","Tuesday","1,823,785"
"February","2/16/2022","Wednesday","1,874,874"
"February","2/17/2022","Thursday","1,859,256"
"February","2/18/2022","Friday","1,924,586"
"February","2/19/2022","Saturday","1,211,741"
"February","2/20/2022","Sunday","908,705"
"February","2/21/2022","Monday","1,767,839"
"February","2/22/2022","Tuesday","1,849,255"
"February","2/23/2022","Wednesday","1,929,342"
"February","2/24/2022","Thursday","1,923,870"
"February","2/25/2022","Friday","1,760,900"
"February","2/26/2022","Saturday","1,209,519"
"February","2/27/2022","Sunday","978,275"
"February","2/28/2022","Monday","1,682,724"
"March","3/1/2022","Tuesday","1,879,556"
"March","3/2/2022","Wednesday","1,916,782"
"March","3/3/2022","Thursday","1,921,932"
"March","3/4/2022","Friday","2,000,417"
"March","3/5/2022","Saturday","1,316,800"
"March","3/6/2022","Sunday","934,467"
"March","3/7/2022","Monday","1,824,495"
"March","3/8/2022","Tuesday","1,957,443"
"March","3/9/2022","Wednesday","1,979,708"
"March","3/10/2022","Thursday","1,953,673"
"March","3/11/2022","Friday","2,017,924"
"March","3/12/2022","Saturday","1,312,236"
"March","3/13/2022","Sunday","932,016"
"March","3/14/2022","Monday","1,776,269"
"March","3/15/2022","Tuesday","1,859,321"
